location_name,year,age_group,sex_name,val_total,val_hbm,percent_hbm,percent_hbm_2015,percent_change_from_2015
Japan,2018,Under 40,Male,322.0113947900974,40.32010306662474,12.521328039620252,12.00470499306985,4.303504724594574
Japan,2019,40 and above,Female,64762.24511223097,3380.6775253383303,5.2201363919359505,5.073484730397561,2.890550959180634
Japan,2019,40 and above,Male,97972.83417971632,6483.996712172652,6.618157743889232,6.469945001198734,2.290788293610502
Japan,2019,Under 40,Female,58.07979341019255,5.509320929184325,9.485779142281665,9.07895597375285,4.480946594574705
Japan,2019,Under 40,Male,303.54123710404747,38.661613951895504,12.736857212795485,12.00470499306985,6.098877233120644
Japan,2020,40 and above,Female,63136.3816526436,3346.432695066582,5.300323850482272,5.073484730397561,4.4710713077663256
Japan,2020,40 and above,Male,96833.72864438764,6451.4986312824285,6.662449873199577,6.469945001198734,2.9753710729407556
Japan,2020,Under 40,Female,56.180186795520726,5.420240286748715,9.647957039510722,9.07895597375285,6.267252175281467
Japan,2020,Under 40,Male,295.9194723229756,38.16730863129766,12.897869927816268,12.00470499306985,7.440123978573646
Japan,2021,40 and above,Female,66214.68431431343,3541.8536351679463,5.3490455657164775,5.073484730397561,5.431391833465194
Japan,2021,40 and above,Male,98992.78872844446,6593.229338531777,6.660312759364953,6.469945001198734,2.9423396664260504
Japan,2021,Under 40,Female,53.68464229843558,5.246834561336475,9.773436753418348,9.07895597375285,7.64934626484845
Japan,2021,Under 40,Male,284.6012996257062,37.553882857801845,13.195260495012109,12.00470499306985,9.917407405092831
Netherlands,2015,40 and above,Female,8484.00631088047,980.4474942941868,11.556421086542498,11.556421086542498,0.0
Netherlands,2015,40 and above,Male,13745.293859381074,1690.8234251505585,12.301107873343735,12.301107873343735,0.0
Netherlands,2015,Under 40,Female,7.134787356095721,2.1746632343896297,30.47972035959377,30.47972035959377,0.0
Netherlands,2015,Under 40,Male,36.6918488544283,7.049309611304766,19.212195164305523,19.212195164305523,0.0
Netherlands,2016,40 and above,Female,8478.035566909159,983.9514652960784,11.605889802309454,11.556421086542498,0.4280625930510833
Netherlands,2016,40 and above,Male,13530.693836936414,1663.8463318690249,12.296829356429727,12.301107873343735,-0.0347815575479936
Netherlands,2016,Under 40,Female,7.45311592511084,2.263304521327582,30.367225521102075,30.47972035959377,-0.369080940259633
Netherlands,2016,Under 40,Male,32.791667433895576,6.383226062618764,19.46600024377123,19.212195164305523,1.3210623632288154
Netherlands,2017,40 and above,Female,8151.737339058992,949.0368705788218,11.642142418297976,11.556421086542498,0.7417636577408948
Netherlands,2017,40 and above,Male,13393.296451914672,1647.8762615879314,12.303739169100188,12.301107873343735,0.0213907217426742
