location_name,year,age_group,sex_name,val_total,val_hbm,percent_hbm,percent_change_from_2015
India,2017,Under 40,Male,5474.164989197189,234.59937275207156,4.285573657626943,1.4908882754669874
India,2018,40 and above,Female,1116832.2254244192,26103.818304073917,2.3373088374266717,3.098737384129821
India,2018,40 and above,Male,1282077.1306171871,16288.695647785664,1.270492645005246,0.7532125327226448
India,2018,Under 40,Female,4492.511419213751,271.5869984858025,6.045326837106489,1.8785834725054331
India,2018,Under 40,Male,5205.263891958128,224.60646387688783,4.314987069606473,2.1874562375418027
India,2019,40 and above,Female,1130931.588028006,26679.019648761336,2.3590303720564805,4.056874690813064
India,2019,40 and above,Male,1316448.6252378542,16735.391680316898,1.2712529269642534,0.8135047745563987
India,2019,Under 40,Female,4340.800775493115,264.1140412821321,6.0844543424623945,2.5379778986272243
India,2019,Under 40,Male,5045.460200364604,219.0503023439599,4.341532657974996,2.8161084457523975
India,2020,40 and above,Female,1115357.0538464442,26441.297362094596,2.3706576536104356,4.569754301854266
India,2020,40 and above,Male,1320125.9369971135,16772.840041368083,1.2705484811184915,0.7576404747551595
India,2020,Under 40,Female,4568.299970743639,278.11384434498063,6.087906795220992,2.5961601948089235
India,2020,Under 40,Male,4969.9971897100095,216.81423946636983,4.362462013364248,3.3117571124618896
India,2021,40 and above,Female,1111766.2649148554,26401.62235366983,2.374745770478276,4.75008121484244
India,2021,40 and above,Male,1316287.808520166,16740.02385541822,1.2717601535972711,0.8537291024654208
India,2021,Under 40,Female,4713.496877938658,288.6410099968403,6.123712765098318,3.199578601994192
India,2021,Under 40,Male,5008.298866753834,218.3730080334444,4.360223178433928,3.2587370586877578
Japan,2015,40 and above,Female,20002.751058675374,165.31041357090317,0.8264383888295531,0.0
Japan,2015,40 and above,Male,42873.65929230533,115.9785424480851,0.2705123480535288,0.0
Japan,2015,Under 40,Female,27.466951993419077,0.6882298323999368,2.505665108253849,0.0
Japan,2015,Under 40,Male,50.82563824138556,1.691958452454036,3.3289467894499207,0.0
Japan,2016,40 and above,Female,20528.400744440136,170.00831028535706,0.8281614939312879,0.20849770836216175
Japan,2016,40 and above,Male,44502.28294615771,118.1535482877046,0.2654999709355491,-1.8529198959109432
Japan,2016,Under 40,Female,25.49140970220573,0.6877611022665705,2.6980112528145503,7.676450612937007
Japan,2016,Under 40,Male,47.68597056500038,1.409299991723412,2.955376550011509,-11.22187475697504
Japan,2017,40 and above,Female,21248.52829766957,191.66871307717577,0.902032886193803,9.147021530704892
Japan,2017,40 and above,Male,47616.09120625577,122.59227789615404,0.2574597678862979,-4.825132849258362
Japan,2017,Under 40,Female,27.07219646779882,0.7499812636025934,2.7703007566994535,10.561493137046718
Japan,2017,Under 40,Male,42.1158021241553,1.116829217892071,2.651805644351052,-20.341002362815185
Japan,2018,40 and above,Female,21775.65656602589,186.80338196977945,0.8578541887055098,3.8013480860260405
Japan,2018,40 and above,Male,48929.68229844654,121.68467139261378,0.248692952164288,-8.065951904318691
