location_name,year,age_group,sex_name,val_total,val_hbm,percent_hbm,percent_change_from_2015
India,2018,Under 40,Female,1641.109819644225,525.2625342933869,32.00654386476453,1.9790617518650893
India,2018,Under 40,Male,2631.781021036397,741.0166796538803,28.15647174786858,3.5471141903946806
India,2019,40 and above,Female,333293.5047898468,125560.45573471312,37.67263805932354,5.264978548859892
India,2019,40 and above,Male,323590.36029658286,97198.58825793708,30.037541343583563,4.88631427548466
India,2019,Under 40,Female,1628.9668254007713,526.519130287747,32.32227459010459,2.985041131346337
India,2019,Under 40,Male,2649.4448387089647,763.365361577395,28.81227608231208,5.958873977389922
India,2020,40 and above,Female,335767.5090302157,127980.96783248388,38.11594760973936,6.503675192337369
India,2020,40 and above,Male,330910.88197919104,100315.77735135517,30.315043358913595,5.855307152067204
India,2020,Under 40,Female,1734.4015293660989,564.3655504196888,32.53949796884445,3.677156982656605
India,2020,Under 40,Male,2670.766182301916,777.915694577915,29.127060980959197,7.116514328691825
India,2021,40 and above,Female,337356.62591274607,129747.9916243756,38.46018772369795,7.465551771154234
India,2021,40 and above,Male,334045.2520577161,102363.98202468285,30.64374703550538,7.003088081676411
India,2021,Under 40,Female,1800.8883356067904,590.8764384476482,32.81027628226369,4.539909251752622
India,2021,Under 40,Male,2730.581274070753,801.689109468557,29.359650162450514,7.971874998558246
Japan,2015,40 and above,Female,5015.900152495148,1542.799728077624,30.758182602780913,0.0
Japan,2015,40 and above,Male,7106.036268952557,2547.228271945467,35.84597904565626,0.0
Japan,2015,Under 40,Female,15.499583515101902,5.250823003568427,33.877187722188324,0.0
Japan,2015,Under 40,Male,40.36148184862981,11.597054589299162,28.732975248015723,0.0
Japan,2016,40 and above,Female,5189.843347898168,1609.5684499437868,31.01381567895773,0.8311059189618861
Japan,2016,40 and above,Male,7381.835758389058,2651.6064983054343,35.920692156988544,0.20842815099882203
Japan,2016,Under 40,Female,13.464521745298937,4.674783937201811,34.71927206648826,2.485697311138963
Japan,2016,Under 40,Male,37.68609720178003,11.018588450483843,29.23780722500339,1.7569777324836218
Japan,2017,40 and above,Female,5432.585987875639,1700.8797644065112,31.3088420174574,1.7902859274484637
Japan,2017,40 and above,Male,8019.362797239784,2906.795989147004,36.24721892052952,1.1193441651076443
Japan,2017,Under 40,Female,16.244080332454082,5.8554858760626765,36.04689065938679,6.404613496820426
Japan,2017,Under 40,Male,38.0955205632056,11.348029723079708,29.788357148845872,3.6730686318432433
Japan,2018,40 and above,Female,5605.363979403693,1755.2211675335009,31.313241637525635,1.8045898287063897
Japan,2018,40 and above,Male,8280.062837092186,3004.219914197959,36.282573856081854,1.2179742946050236
Japan,2018,Under 40,Female,15.576184257822078,5.6398708846439805,36.208295891285054,6.881055736423891
Japan,2018,Under 40,Male,39.40538239303048,11.86589542562237,30.11237223197473,4.800745387668367
Japan,2019,40 and above,Female,5686.775897583573,1785.767983574202,31.402116343867377,2.0935363750270617
Japan,2019,40 and above,Male,8297.960417303473,2997.0436933825217,36.11783550006918,0.758401532474986
Japan,2019,Under 40,Female,15.000073942461192,5.264314119628174,35.09525446222175,3.5955367665765223
Japan,2019,Under 40,Male,33.37817859175593,9.601166384888929,28.76480020770311,0.11076110083512998
Japan,2020,40 and above,Female,5548.358210977213,1757.4792299316923,31.675662657371102,2.9828812268876974
Japan,2020,40 and above,Male,8238.79348046051,2983.5778902242273,36.21377204441662,1.0260369741663764
Japan,2020,Under 40,Female,14.6287637198036,5.1929846998807925,35.4984522229368,4.78571159460974
Japan,2020,Under 40,Male,32.3363979949141,9.389034382150124,29.03549858468108,1.052878562188745
Japan,2021,40 and above,Female,5822.651148444331,1851.787036408691,31.80315957797751,3.397395056436523
Japan,2021,40 and above,Male,8432.36497222697,3051.6435091731128,36.189651648429304,0.9587479877040568
Japan,2021,Under 40,Female,14.015816760933552,5.026131672051541,35.860426529411654,5.854201427482662
Japan,2021,Under 40,Male,31.11979350579098,9.134948886165592,29.35414364001387,2.1618658932337476
Netherlands,2015,40 and above,Female,2182.000346166077,996.021236111959,45.64716214926528,0.0
Netherlands,2015,40 and above,Male,2327.3793582381795,1101.0722645872531,47.30953124121381,0.0
Netherlands,2015,Under 40,Female,4.497775465285729,1.562352284395168,34.73611113879641,0.0
Netherlands,2015,Under 40,Male,9.548726998631151,1.824235138678039,19.10448522551279,0.0
Netherlands,2016,40 and above,Female,2253.8412461365656,1038.0216468593117,46.05566823478105,0.8949210997607442
Netherlands,2016,40 and above,Male,2474.1799840926597,1177.219124716215,47.58017332146227,0.5720667128755796
Netherlands,2016,Under 40,Female,4.78127089134061,1.6343873496287329,34.183115468081546,-1.5919907340958181
Netherlands,2016,Under 40,Male,9.535859032196225,1.8362026585144124,19.255765551008913,0.7918576381953446
Netherlands,2017,40 and above,Female,2209.343903091116,1021.8897805726324,46.25308803862069,1.327411959091885
