location_name,year,age_group,sex_name,val_total,val_hbm,val_hbm_2015,percent_change_from_2015
Global,2016,40 and above,Female,5182048.632754136,241482.09058539238,233124.23834561234,3.585149403207624
Global,2016,40 and above,Male,6332864.462573165,215652.70583424432,206852.83976781621,4.254167395673945
Global,2016,Under 40,Female,44484.76532388886,3392.3114469737957,3312.361680864869,2.413678632100694
Global,2016,Under 40,Male,74876.57805764425,4158.76147005761,4007.0707324522114,3.785576740058389
Global,2017,40 and above,Female,5271534.911459877,248199.27567065996,233124.23834561234,6.466525073509738
Global,2017,40 and above,Male,6415854.822195977,222004.64435903585,206852.83976781621,7.324919787529587
Global,2017,Under 40,Female,44081.50712951805,3441.4759793900553,3312.361680864869,3.8979529098849532
Global,2017,Under 40,Male,75260.58390987397,4305.932583773763,4007.0707324522114,7.458362262017201
Global,2018,40 and above,Female,5391477.893838516,258170.80838205141,233124.23834561234,10.743872114793543
Global,2018,40 and above,Male,6545947.801183461,231308.65063879118,206852.83976781621,11.82280644463262
Global,2018,Under 40,Female,43336.19155394733,3512.859672561668,3312.361680864869,6.053022315016287
Global,2018,Under 40,Male,75206.77813256728,4446.257659846826,4007.0707324522114,10.96029884967478
Global,2019,40 and above,Female,5485293.111508373,267143.3273343028,233124.23834561234,14.592686384783537
Global,2019,40 and above,Male,6683589.550199666,240170.94591909868,206852.83976781621,16.107154336716224
Global,2019,Under 40,Female,42954.628485111556,3595.235155773208,3312.361680864869,8.53993320060628
Global,2019,Under 40,Male,74887.87741757002,4582.0426122141025,4007.0707324522114,14.348932628150166
Global,2020,40 and above,Female,5563233.194923786,276250.3485066006,233124.23834561234,18.499196165545325
Global,2020,40 and above,Male,6815920.2377211,249733.55540591627,206852.83976781621,20.730058957001454
Global,2020,Under 40,Female,42637.26795225561,3629.1910023249907,3312.361680864869,9.5650581665163
Global,2020,Under 40,Male,74047.48850793162,4657.010073354325,4007.0707324522114,16.21981203472217
Global,2021,40 and above,Female,5656158.654323532,287863.94955040346,233124.23834561234,23.480917983156335
Global,2021,40 and above,Male,6913484.73879718,258446.70088746538,206852.83976781621,24.942302545887767
Global,2021,Under 40,Female,42639.70114789892,3718.4264878289764,3312.361680864869,12.259072108879202
Global,2021,Under 40,Male,74826.20977377372,4855.791712131832,4007.0707324522114,21.180583931450304
India,2015,40 and above,Female,631591.4522523121,13266.183520739502,13266.183520739502,0.0
India,2015,40 and above,Male,735058.0216939693,8934.956822955939,8934.956822955939,0.0
India,2015,Under 40,Female,6429.779960796555,170.53276678497232,170.53276678497232,0.0
India,2015,Under 40,Male,9415.914188165081,252.43889419828264,252.43889419828264,0.0
India,2016,40 and above,Female,656818.9730161099,14272.628536006512,13266.183520739502,7.586545246367193
